Hawker Centres ,Postal Code,Postal Code
SEAH IM FOOD CENTRE  2 SEAH IM RD , S099114  ,099114  
SEMBAWANG HILLS FOOD CENTRE  590 UPPER THOMSON RD, S574419  ,574419  
SENG KANG NEW MARKET  118 RIVERVALE DR, S540118  ,540118  
SENJA HAWKER CENTRE  2 SENJA CLOSE, S677632  ,677632  
SERANGOON GARDEN MARKET AND FOOD CENTRE  49A SERANGOON GARDEN WAY, S555945  ,555945  
SHUNFU MART FOOD CENTRE MARKET  320 SHUNFU RD, S570320  ,570320  
SIMS VISTA FOOD CENTRE  49 SIMS PLACE, S380049  ,380049  
SIN CHWEE MINI MART  371 BUKIT BATOK ST 31, S650371  ,650371  
TAMAN JURONG FOOD CENTRE  3 YUNG SHENG RD, S618499  ,618499  
TAMPINES ROUND MARKET & FOOD CENTRE  137 TAMPINES ST 11, S521137  ,521137  
TAMPINES WET MARKET  201C TAMPINES ST 21, S523201  ,523201  
TANGLIN HALT MARKET  48A TANGLIN HALT RD, S148813  ,148813  
TANJONG PAGAR PLAZA FOOD CENTRE  6 TANJONG PAGAR PLAZA, S081006  ,081006  
TAR HUAT TRADING  374 BUKIT BATOK ST 31, S650374  ,650374  
TEBAN GARDENS HAWKER  37A TEBAN GARDENS RD, S601037  ,601037  
TECK GHEE COURT MARKET AND FOOD CENTRE  341 ANG MO KIO AVE 1, S560341  ,560341  
TEKKA HAWKER CENTRE  665 BUFFALO RD, S210665  ,210665  
TELOK BLANGAH CRESCENT MARKET AND FOOD CENTRE  11 TELOK BLANGAH CRES, S090011  ,090011  
TELOK BLANGAH RISE MARKET AND FOOD CENTRE  36 TELOK BLANGAH RISE, S090036  ,090036  
THE MARKETPLACE@58  58 NEW UPPER CHANGI RD, S461058  ,461058  
TIONG BAHRU FOOD CENTRE  30 SENG POH RD, S168898  ,168898  
TOA PAYOH LORONG 5 HAWKER CENTRE  75 LORONG 5 TOA PAYOH, S310075  ,310075  
TOA PAYOH LORONG 8 MARK ET AND HAWKER CENTRE  210 LORONG 8 TOA PAYOH, S310210  ,310210  
TOA PAYOH PALM SPRING MARKET  93 LORONG 4 TOA PAYOH, S310093  ,310093  
TOA PAYOH VISTA MARKET  74 LORONG 4 TOA PAYOH, S310074  ,310074  
TOA PAYOH WEST MARKET AND FOOD CENTRE  127 LORONG 1 TOA PAYOH, S310127  ,310127  
UPPER BOON KENG FOOD CENTRE  17 UPPER BOON KENG RD, S380017  ,380017  
WET MARKET (475 TAMPINES )  475 TAMPINES ST 44, S520475  ,520475  
XIANG XIANG VEGETARIAN FOOD & FRUIT  810 HOUGANG CENTRAL, S530810  ,530810  
YEW TEE WET MARKET  622 CHOA CHU KANG ST 62, S680622  ,680622  
YISHUN PARK HAWKER CENTRE  51 YISHUN AVE 11, S768867  ,768867  
YUHUA HAWKER CENTRE  347 JURONG EAST AVE 1, S600347  ,600347  
YUHUA VILLAGE FOOD CENTRE  254 JURONG EAST ST 24, S600254  ,600254  
ZION RIVERSIDE FOOD CENT RE  70 ZION RD, S247792  ,247792  
 ,,#VALUE!
  ,,#VALUE!
